year	month	day	studentid	groupna	treatment	caste	round1	round2	class	seenmaze	knowkids	read	schtype	math1	math2	math3	math4	hindi1	hindi2	hindi3	mothedu	fathedu	mothocc	fathocc	land
2003	1	4	99	81	2	chamar	0	4	7	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	agriculture	NA
2003	1	4	100	81	2	chamar	2	6	7	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	5	9	housewife	agriculture	NA
2003	1	4	101	81	2	vaishya	0	2	6	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	5	10	housewife	Business	NA
2003	1	4	102	81	2	thakur	5	9	6	0	2	1	0	NA	NA	NA	NA	NA	NA	NA	6	8	housewife	agriculture	NA
2003	1	4	103	82	2	chamar	3	4	6	0	NA	0	1	NA	NA	NA	NA	NA	NA	NA	8	9	housewife	wage laborer	0.2
2003	1	4	104	82	2	chamar	3	8	7	0	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	10	field	field	0.27911
2003	1	4	105	82	2	chamar	2	0	6	0	NA	1	1	NA	NA	NA	NA	NA	NA	NA	4	6	brick construction	brick factory	0.075
2003	1	4	106	82	2	brahmin	5	6	6	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	housewife	farmer	2.9887
2003	1	4	107	82	2	brahmin	4	5	7	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	5	10	housewife	driver	NA
2003	1	4	108	82	2	kshatriya	5	9	7	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	6	10	housewife	watchman in Hardoi	2
2003	1	4	109	91	2	chamar	4	8	6	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	5	8	housewife	agriculture	NA
2003	1	4	110	91	2	chamar	0	2	6	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	2	3	housewife	agriculture	NA
2003	1	4	111	91	2	brahmin	5	9	6	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	8	10	housewife	agriculture	NA
2003	1	4	112	91	2	brahmin	1	11	7	0	1	1	0	NA	NA	NA	NA	NA	NA	NA	9	10	housewife	agriculture	NA
2003	1	4	113	91	2	chamar	3	9	7	0	0	1	1	NA	NA	NA	NA	NA	NA	NA	9	5	housewife	agriculture	NA
2003	1	4	114	91	2	vaishya	6	9	7	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	Business	NA
2003	1	4	115	112	2	chamar	5	11	7	0	4	1	1	NA	NA	NA	NA	NA	NA	NA	NA	8	housewife	field	3
2003	1	4	116	112	2	chamar	1	6	7	0	4	0	1	NA	NA	NA	NA	NA	NA	NA	NA	3	field	field	5.2
2003	1	4	117	112	2	chamar	1	3	6	0	5	0	1	NA	NA	NA	NA	NA	NA	NA	NA	8	housewife	construction	1
2003	1	4	118	112	2	brahmin	6	10	7	1	4	1	NA	NA	NA	NA	NA	NA	NA	NA	5	9	housewife	field	NA
2003	1	4	119	112	2	kshatriya	4	8	6	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	5	MA	housewife	field+teacher	1.7
2003	1	4	120	112	2	brahmin	5	8	6	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	5	8	housewife	field	2.21806
2003	1	5	121	52	2	chamar	2	6	7	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	6	10	housewife	field	NA
2003	1	5	122	52	2	kshatriya	4	5	7	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	10	10	housewife	field	NA
2003	1	5	123	52	2	kshatriya	6	9	7	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	housewife	field	NA
2003	1	5	124	52	2	kshatriya	5	6	6	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	5	9	Tailor, embroidery	press (ironing or printing press?)	NA
2003	1	5	125	52	2	chamar	3	7	7	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	wage laborer	NA
2003	1	5	126	52	2	chamar	3	4	7	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	housewife	field	NA
2003	1	5	127	82	2	chamar	4	7	6	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	don't know	don't know	housewife	field	NA
2003	1	5	128	82	2	kshatriya	4	11	6	0	3	1	NA	NA	NA	NA	NA	NA	NA	NA	10	BA	housewife	teacher	NA
2003	1	5	129	82	2	chamar	5	8	6	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	5	5	housewife	field	NA
2003	1	5	130	82	2	kshatriya	9	13	7	0	2	1	NA	NA	NA	NA	NA	NA	NA	NA	12	BA	housewife	army	NA
2003	1	5	131	82	2	chamar	11	14	6	0	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	housewife	dead	NA
2003	1	5	132	82	2	kshatriya	3	10	7	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	10	12	housewife	field	NA
2003	1	6	133	52	2	chamar	4	4	6	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	14	12	housewife	field	NA
2003	1	6	134	52	2	chamar	3	3	6	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	housewife	wage laborer	NA
2003	1	6	135	52	2	chamar	1	0	6	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	housewife	field	NA
2003	1	6	136	52	2	kshatriya	1	4	6	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	5	10	housewife	watchman in Hardoi	NA
2003	1	6	137	52	2	kshatriya	3	2	7	0	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	housewife	wage laborer	NA
2003	1	6	138	52	2	kshatriya	3	2	7	0	3	1	NA	NA	NA	NA	NA	NA	NA	NA	8	10	housewife	field	NA
2003	1	6	139	61	2	chamar	3	7	7	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	agriculture	NA
2003	1	6	140	61	2	thakur	4	10	7	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	8	10	housewife	agriculture	NA
2003	1	6	141	61	2	thakur	2	1	6	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	15	10	housewife	service	NA
2003	1	6	142	61	2	thakur	4	8	7	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	5	15	housewife	service	NA
2003	1	6	143	61	2	chamar	0	0	7	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	5	15	housewife	service	NA
2003	1	6	144	61	2	chamar	3	8	6	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	5	housewife	agriculture	NA
2003	1	6	145	71	2	thakur	5	6	6	0	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	don't know	housewife	Dead	NA
2003	1	6	146	71	2	thakur	4	13	6	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	service	NA
2003	1	6	147	71	2	chamar	4	5	7	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	agriculture	NA
2003	1	6	148	71	2	thakur	2	5	6	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	8	10	housewife	agriculture	NA
2003	1	6	149	71	2	chamar	0	1	6	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	8	housewife	agriculture	NA
2003	1	6	150	71	2	chamar	3	3	7	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	agriculture	NA
2003	1	6	151	81	2	thakur	7	11	7	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	12	17	housewife	service	NA
2003	1	6	152	81	2	thakur	2	4	6	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	8	10	housewife	agriculture	NA
2003	1	6	153	81	2	chamar	3	3	7	0	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	8	housewife	agriculture	NA
2003	1	6	154	81	2	thakur	2	9	6	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	9	10	housewife	agriculture	NA
2003	1	6	155	81	2	chamar	3	9	7	0	0	1	1	NA	NA	NA	NA	NA	NA	NA	8	10	housewife	Business	NA
2003	1	6	156	81	2	chamar	5	7	7	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	2	15	housewife	service	NA
2003	1	6	157	82	2	kshatriya	4	6	7	1	3	1	NA	NA	NA	NA	NA	NA	NA	NA	10	15	housewife	field	NA
2003	1	6	158	82	2	chamar	3	3	7	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	housewife	sillai	NA
2003	1	6	159	82	2	kshatriya	3	3	6	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	don't know	12	housewife	salesman	NA
2003	1	6	160	82	2	chamar	7	7	7	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	housewife	wage laborer	NA
2003	1	6	161	82	2	brahmin	2	6	6	0	3	0	NA	NA	NA	NA	NA	NA	NA	NA	10	10	housewife	field	NA
2003	1	6	162	82	2	chamar	1	4	7	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	housewife	field	NA
2003	3	2	163	71	1	chamar	1	6	6	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	agriculture	NA
2003	3	2	164	71	1	thakur	3	4	6	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	5	housewife	agriculture	NA
2003	3	2	165	71	1	chamar	0	2	6	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	6	5	housewife	agriculture	NA
2003	3	2	166	71	1	thakur	6	5	6	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	5	12	housewife	service	NA
2003	3	2	167	71	1	chamar	7	9	7	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	12	housewife	agriculture	NA
2003	3	2	168	71	1	thakur	1	2	6	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	don't know	don't know	housewife	agriculture	NA
2003	3	2	169	81	1	chamar	3	5	6	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	8	housewife	agriculture	NA
2003	3	2	170	81	1	chamar	3	5	6	0	2	0	1	NA	NA	NA	NA	NA	NA	NA	NA	5	Dead	Business	NA
2003	3	2	171	81	1	thakur	2	7	6	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	8	10	housewife	agriculture	NA
2003	3	2	172	81	1	thakur	6	10	7	0	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	8	housewife	agriculture	NA
2003	3	2	173	81	1	chamar	1	5	6	0	2	0	1	NA	NA	NA	NA	NA	NA	NA	NA	5	housewife	agriculture	NA
2003	3	2	174	81	1	thakur	4	8	7	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	8	housewife	agriculture	NA
2003	3	2	175	91	1	thakur	7	11	7	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	10	10	housewife	agriculture	NA
2003	3	2	176	91	1	chamar	3	2	6	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	10	housewife	Business	NA
2003	3	2	177	91	1	chamar	0	0	7	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	7	8	housewife	agriculture	NA
2003	3	2	178	91	1	thakur	5	14	7	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	5	housewife	agriculture	NA
2003	3	2	179	91	1	chamar	0	0	6	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	don't know	NA	Dead	agriculture	NA
2003	3	2	180	91	1	thakur	1	2	6	0	1	1	0	NA	NA	NA	NA	NA	NA	NA	10	12	housewife	Business	NA
2003	3	3	181	61	1	chamar	6	12	7	0	2	0	1	NA	NA	NA	NA	NA	NA	NA	5	10	housewife	service	NA
2003	3	3	182	61	1	chamar	5	8	7	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	8	12	housewife	service	NA
2003	3	3	183	61	1	chamar	0	0	7	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	10	8	housewife	agriculture	NA
2003	3	3	184	61	1	brahmin	4	5	6	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	12	housewife	agriculture	NA
2003	3	3	185	61	1	brahmin	8	10	7	1	2	0	1	NA	NA	NA	NA	NA	NA	NA	3	10	housewife	Teacher	NA
2003	3	3	186	61	1	brahmin	1	8	6	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	10	12	housewife	agriculture	NA
2003	3	3	187	71	1	thakur	1	3	6	0	2	0	1	NA	NA	NA	NA	NA	NA	NA	3	7	housewife	agriculture	NA
2003	3	3	188	71	1	chamar	0	0	6	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	5	7	housewife	agriculture	NA
2003	3	3	189	71	1	thakur	4	11	6	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	10	12	housewife	service	NA
2003	3	3	190	71	1	chamar	2	7	6	0	2	0	1	NA	NA	NA	NA	NA	NA	NA	5	10	housewife	agriculture	NA
2003	3	3	191	71	1	chamar	5	9	7	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	Labour	NA
2003	3	3	192	71	1	thakur	10	12	6	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	10	housewife	agriculture	NA
2003	3	3	193	81	1	thakur	4	12	6	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	agriculture	NA
2003	3	3	194	81	1	chamar	0	0	6	0	6	0	1	NA	NA	NA	NA	NA	NA	NA	NA	12	housewife	agriculture	NA
2003	3	3	195	81	1	chamar	0	3	6	0	2	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	agriculture	NA
2003	3	3	196	81	1	chamar	9	12	7	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	housewife	Labour	NA
2003	3	3	197	81	1	brahmin	0	0	7	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	8	10	housewife	agriculture	NA
2003	3	3	198	81	1	brahmin	0	2	6	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	10	12	housewife	Teacher	NA
