dataset	ccode	cnumb	cluster	clust2	cname	yrbeg	yrend	decade	geo	royal	euro	lac	mideast	asia	africa	warend2	warend5	warend10	noviol2	noviol5	noviol10	gurr2	gurr5	gurr10	pol982	pol985	pol9810	polity2	polity5	polity10	pbs2ll	pbs2l	pbs5l	pbs10l	bollen80	gpol2	gciv2	gpol5	gciv5	gpol10	gciv10	gurrlag5	gurrlagx	outcome	outcome2	treaty	wardur	wartype	unintrvn	uncint	un2int	un2cint	untype	nouncint	peaceop	interven	major	pw10	elf	factmf	factnum	battle	dead	ridp	lifes	lifee	garm	gdp60	gdp85	gdpcap	rgdpcaps	rgdpcape	rgdpch	rgdpch2	aid91	en1	en2st	en2end	area	popst	popen5	popen10	popgro	infst	border	illit	illitend	water	gini1	transf85	sxp	nettrans	electric	en9903s	eh	coldwar	pbs2s3	pbs2s6	pbs2s9	pbs5s3	pbs5s6	pbs5s9	outcome3	negout	milout	logdead	trnsfcap	encaps	cost	costcap	intense	logcost	faction	factn1	factn2	un2cint1	un2cint2	un2cint3	un2cint4	un2cint5	untype1	untype2	untype3	untype4	untype5	strongUN	UNops	UNop1	UNop2	UNop3	UNop4	treatUN	outUN	factnum2	logpop	elfpop	elfpop2	untreaty	unout	exp	energy	ielec	ielf	ielf2	ielfpol	gini	ielfgini	gdp	PKO	enforce	truce	vrebel	vgov	UNopindx	RC2	IC2	LC2	develop	devel	PredUN	ResUN	Pred2UN	Res2UN	L1	Phat1	L2	Phat2	L3	Phat3	L4	Phat4	L5	Phat5	L6	Phat6	L7	Phat7	L8	Phat8	L10	Phat10	L11	Phat11	L12	Phat12	L13	Phat13	L14	Phat14	L15	Phat15	L16	Phat16	L17	Phat17
1	PNG	101	PNG	PNG	Papua NG	88	91	4	4	0	0	0	0	1	0	1	1	NA	0	0	NA	20	20	NA	20	20	NA	-10	-10	NA	0	0	0	NA	NA	2	4	2	4	NA	NA	20	20	3	3	0	36	1	0	0	1	1	0	3	3	0	0	0	42	0	3	NA	1000	0	53.93	55.93	67	1235	NA	58	1619	2650	2650	1620	NA	NA	NA	NA	462840	2422000	NA	NA	NA	57	1	28	28	40.5	NA	1.57484e+08	0.294	1.76e+08	410	1052	22	1	0	0	0	0	0	0	1	1	0	6.90776	72.6672	0.000434352	1000	0.000412882	1.14689e-05	6.90776	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	9	14.7001	1.01724e+08	1.01724e+08	0	0	0.294	394.527	410	42	1764	840	31.6531	1329.43	2650	0	0	1	0	0	0	0.370077	0.0190358	0.170555	410	410	0.500271	-0.499729	0.479291	-0.520709	-2.84876	0.0547456	-4.82904	0.00793078	-4.16812	0.0152453	0.0338788	0.508469	-4.50174	0.010968	-3.76919	0.0225505	0.846177	0.699765	-1.23688	0.22498	-1.50868	0.181134	2.69332	0.936631	-5.00077	0.00668772	-0.798771	0.310288	1.40736	0.80335	5.60937	0.99635	-0.445518	0.390427	3.75648	0.977168
1	ZAI3	36	ZAI	ZAI	Congo-Shabba I&II	75	79	4	5	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	-10	-10	-10	1	0	0	0	17	6	6	6	7	7	6	1	1	1	1	0	48	1	0	0	0	0	0	0	0	1	0	1	90	0	2	NA	2000	0	46	48.96	28	460	422	548	637	476	637	637	NA	NA	NA	NA	2344860	23251000	NA	NA	NA	95	9	58.4	58.4	38	41.9	2.95818e+06	0.078	2.17086e+07	95	1766	70	1	0	0	0	0	0	0	0	0	1	7.6009	0.933664	7.59537e-05	2000	8.60178e-05	1.79204e-06	7.6009	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	16.9619	2.09259e+09	2.09259e+09	0	0	0.078	133.209	95	90	8100	90	41.9	3771	637	0	0	0	0	1	0	0.356643	0.000244581	0.0406675	95	95	0.240091	0.240091	0.249779	0.249779	-3.03053	0.0460654	-5.01082	0.00662132	-4.3499	0.0127436	-0.147897	0.463093	-3.30944	0.0352488	-2.57689	0.0706409	0.475643	0.616719	-1.60741	0.166949	-1.87921	0.132479	2.32279	0.910747	-5.18255	0.00558234	-0.980547	0.272783	1.03683	0.738238	5.23883	0.994722	-0.627294	0.348124	3.57471	0.97274
1	BRM3	16	BRM	BRM	Burma	83	95	3	4	0	0	0	0	1	0	1	1	NA	0	0	NA	1	1	NA	1	1	NA	-10	-10	NA	1	0	0	NA	NA	7	7	NA	NA	NA	NA	NA	NA	1	1	0	144	1	0	0	1	1	0	0	0	1	1	1	47	1	3	7000	17500	333700	54	54	48.8	NA	NA	561	561	611	561	561	NA	NA	NA	NA	676580	47305000	NA	NA	1.65	78	5	16.38	17	59.7	NA	7e+06	0.013	5.54545e+06	79	2320	55	1	0	0	0	0	0	0	0	0	1	9.76996	0.117228	4.90434e-05	351200	0.00742416	5.15567e-05	12.7691	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	9	17.6721	2.22333e+09	2.22333e+09	0	0	0.013	119.935	79	47	2209	47	36.8302	1731.02	561	0	0	0	0	1	0	0.482378	3.07087e-05	0.0353825	79	79	0.319625	-0.680375	0.328012	-0.671988	-3.03977	0.0456614	-5.02005	0.00656087	-4.35913	0.012628	-0.157131	0.460798	-4.50174	0.010968	-3.76919	0.0225505	-2.28711	0.0921959	-4.37017	0.0124911	-4.64197	0.00954666	-0.43997	0.391748	-5.19178	0.00553132	-0.98978	0.270955	-1.72593	0.151109	2.47608	0.922447	-0.636527	0.346032	3.56547	0.972494
1	ETH2	50	ETH	ETH	Ethiopia-Ogaden	77	85	3	5	0	0	0	0	0	1	1	1	1	0	0	1	2	2	11	2	2	11	-10	-10	11	1	0	0	1	0	7	7	7	7	4	5	1	1	1	2	0	96	1	0	0	0	0	0	0	0	1	1	1	69	0	2	36000	36000	0	42	43	600	249	283	76	296	322	306	306	NA	NA	NA	NA	1097000	32098490	NA	NA	NA	155	4	84	76.2	10	32.42	1.933e+08	0.07	8.76909e+07	16.2255	751	100	1	0	0	0	0	0	0	0	0	1	10.4913	2.73193	2.33967e-05	36000	0.00112155	1.16828e-05	10.4913	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	17.2843	2.2148e+09	2.2148e+09	0	0	0.07	67.8588	16.2255	69	4761	138	32.42	2236.98	306	0	0	0	1	0	0	0.410196	0.000715651	0.016806	16.2255	16.2255	0.134314	0.134314	0.159694	0.159694	-3.07599	0.0441085	-5.05628	0.00632893	-4.39536	0.0121842	-0.193356	0.451811	-3.30944	0.0352488	-2.57689	0.0706409	-1.06946	0.255507	-3.15251	0.0409925	-3.42431	0.0315442	0.777688	0.685182	-5.22801	0.00533559	-1.02601	0.263859	-0.508269	0.375599	3.69373	0.975725	-0.672752	0.337881	3.52925	0.971509
1	SAF	116	SAF	SAF	South Africa	76	94	3	5	0	0	0	0	0	1	1	1	NA	1	1	NA	19	19	NA	19	19	NA	19	19	NA	1	1	1	NA	NA	1	2	1	2	NA	NA	14	14	2	4	1	288	1	1	2	1	2	2	2	2	1	1	0	88	0	2	NA	100000	0	53.13	62.92	159	2191	NA	2617	2617	3248	3254	3254	NA	NA	NA	NA	1221040	22087000	NA	NA	NA	79	6	29.6	16.8	59	53	7.31085e+07	0.08	1.71e+08	3212.87	71104	107	1	1	1	1	1	1	1	1	1	0	11.5129	7.74211	0.00321927	100000	0.00452755	1.57207e-05	11.5129	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	2	4	16.9105	1.94366e+09	1.94366e+09	2	8	0.08	2719.74	3212.87	88	7744	1672	53	4664	3254	0	0	0	0	0	0.25	0.489901	0.168695	0.460906	3212.87	3212.87	0.398044	-0.601956	0.286213	-0.713787	-1.23131	0.225952	-3.21159	0.0387318	-2.55068	0.0723811	1.65133	0.83907	-3.30944	0.0352488	-2.57689	0.0706409	-1.6156	0.165813	-3.69865	0.0241588	-3.97046	0.0185155	0.231546	0.557629	-3.38333	0.0328207	0.818676	0.693955	-1.05441	0.258379	3.14759	0.958814	1.17193	0.763494	5.37393	0.995386
1	CAF	23	CAF	CAF	Central Africa	95	97	6	5	0	0	0	0	0	1	1	NA	NA	1	NA	NA	16	NA	NA	16	NA	NA	16	NA	NA	1	1	NA	NA	NA	3	4	3	4	NA	NA	8	5	2	4	1	24	0	1	3	1	3	3	3	3	0	0	0	83	0	2	200	500	5000	44.85	44.85	66	704	NA	579	579	579	1000	514	NA	NA	NA	NA	622980	3418200	3375771	NA	NA	105	5	40	40	23	55	5.67151e+07	0.066	5.70993e+07	31	91	74	0	1	1	1	NA	NA	NA	1	1	0	6.21461	16.7045	2.66222e-05	5500	0.00160903	6.70431e-05	8.6125	0	1	0	0	0	0	1	0	0	0	1	0	0	1	2	0	0	1	0	2	4	4	15.0446	2.83711e+08	2.83711e+08	3	12	0.066	80.1154	31	83	6889	1328	55	4565	1000	1	0	0	0	0	0.5	0.161219	0.25663	0.0528773	31	31	0.97688	-0.02312	0.980774	-0.0192259	-3.06747	0.0444694	-5.04775	0.00638277	-4.38683	0.0122872	-0.18483	0.453924	-3.30944	0.0352488	-2.57689	0.0706409	-0.0651255	0.483724	-2.14818	0.104502	-2.41998	0.0816615	1.78202	0.855946	-5.21948	0.00538102	-1.01748	0.265519	0.496061	0.621533	4.69806	0.990969	-0.664226	0.339791	3.53778	0.971744
1	IRE	97	IRE	IRE	Northern Ireland	68	94	3	1	0	1	0	0	0	0	1	1	NA	1	1	NA	10	10	NA	10	10	NA	20	20	NA	1	1	1	NA	NA	1	2	1	2	NA	NA	20	20	2	4	1	312	1	0	0	0	0	0	1	1	0	1	0	32	1	4	NA	3200	0	71	75.88	1206	3311	NA	4000	4000	9274	9274	4510	NA	NA	NA	NA	NA	2832000	NA	NA	NA	6	1	2	2	97	35.65	NA	0.203	8.03e+08	4672	NA	24	1	1	1	1	1	1	1	1	1	0	8.07091	283.545	NA	3200	0.00112994	3.62161e-06	8.07091	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	16	14.8565	9.0624e+07	9.0624e+07	0	0	0.203	3930.2	4672	32	1024	320	35.65	1140.8	9274	0	0	0	0	0	0	0.510506	0.0742769	0.897337	4672	4672	0.0522446	0.0522446	0.0645568	0.0645568	-0.389296	0.403887	-2.36958	0.085522	-1.70866	0.153337	2.49334	0.923674	-5.46531	0.00421322	-4.73275	0.00872541	0.224395	0.555865	-1.85866	0.13486	-2.13046	0.106171	2.07154	0.888106	-2.54131	0.0730124	1.66069	0.840331	0.785581	0.686882	4.98758	0.993224	2.01394	0.882253	6.21594	0.998007
1	MLI	87	MLI	MLI	Mali	90	95	5	5	0	0	0	0	0	1	1	1	NA	1	1	NA	16	16	NA	16	16	NA	16	16	NA	1	1	1	NA	NA	3	3	3	3	NA	NA	3	3	2	4	1	72	1	0	0	1	1	0	0	0	1	0	0	78	0	2	NA	1000	120000	47.64	50.35	94	535	NA	531	531	531	600	495	NA	NA	NA	NA	1240190	10290260	NA	NA	NA	121	7	75	64.56	49	54	1.62934e+08	0.144	1.13e+08	31	209	65	0	1	1	1	1	1	1	1	1	0	6.90776	10.9813	2.03105e-05	121000	0.0117587	0.000163315	11.7035	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	16.1467	8.0264e+08	8.0264e+08	0	0	0.144	80.1154	31	78	6084	1248	54	4212	600	0	0	0	0	0	0	0.417333	0.00287663	0.0328773	31	31	0.854578	-0.145422	0.873811	-0.126189	-3.06747	0.0444694	-5.04775	0.00638277	-4.38683	0.0122872	-0.18483	0.453924	-3.30944	0.0352488	-2.57689	0.0706409	-1.7175	0.152194	-3.80055	0.0218695	-4.07235	0.0167518	0.129647	0.532366	-5.21948	0.00538102	-1.01748	0.265519	-1.15631	0.239338	3.04569	0.954596	-0.664226	0.339791	3.53778	0.971744
1	BUR1	17	BUR	BUR	Burundi	65	69	2	5	0	0	0	0	0	1	1	0	1	0	0	0	7	3	3	7	3	3	-10	-20	-10	0	0	0	0	0	NA	NA	NA	NA	NA	NA	1	1	1	1	0	48	1	0	0	0	0	0	0	0	0	0	0	4	1	3	NA	NA	12600	41.96	41.96	40	640	NA	118	640	640	640	640	NA	NA	NA	NA	27830	2941000	NA	NA	NA	149	3	80.1	80.1	20	NA	8.92446e+07	0.078	8.92446e+07	20	20	20	1	0	0	0	0	0	0	0	0	1	NA	30.345	6.80041e-06	NA	NA	NA	NA	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	9	14.8943	1.1764e+07	1.1764e+07	0	0	0.078	70.99	20	4	16	28	34.8053	139.221	640	0	0	0	0	1	0	NA	0.00794911	0.0338563	20	20	NA	NA	NA	NA	-3.07381	0.0442005	-5.0541	0.00634264	-4.39318	0.0122104	-0.191178	0.452351	-4.50174	0.010968	-3.76919	0.0225505	NA	NA	NA	NA	NA	NA	NA	NA	-5.22583	0.00534716	-1.02383	0.264283	NA	NA	NA	NA	-0.670574	0.338368	3.53143	0.971569
1	YEM4	132	YEM	YEM	Yemen	94	94	6	3	0	0	0	1	0	0	1	1	NA	1	1	NA	10	10	NA	10	10	NA	10	10	NA	1	1	1	NA	11	7	7	7	7	NA	NA	5	5	1	1	0	6	0	0	0	1	1	0	2	0	1	0	1	4	0	2	NA	2000	0	59	59	204	NA	NA	2300	270	270	2300	1979	NA	NA	NA	NA	527970	14785000	16387000	NA	NA	72	2	60	60	52	NA	1.8191e+09	NA	1.23e+09	127	1170	50	0	1	1	1	1	1	1	0	0	1	7.6009	83.1924	7.91343e-05	2000	0.000135272	2.25454e-05	7.6009	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	16.5091	5.914e+07	5.914e+07	0	0	0.0751397	159.755	127	4	16	40	38.9441	155.776	2300	0	0	0	0	1	0	0.142059	0.0217929	0.126788	127	127	0.630088	-0.369912	0.594175	-0.405825	-3.01207	0.0468837	-4.99235	0.00674389	-4.33143	0.012978	-0.129431	0.467687	-3.30944	0.0352488	-2.57689	0.0706409	0.475643	0.616719	-1.60741	0.166949	-1.87921	0.132479	2.32279	0.910747	-5.16408	0.00568579	-0.962081	0.276462	1.03683	0.738238	5.23883	0.994722	-0.608828	0.352327	3.59317	0.973226
1	DJI	43	DJI	DJI	Djibouti	91	95	5	5	0	0	0	0	0	1	1	1	NA	1	1	NA	4	4	NA	4	4	NA	4	4	NA	1	1	1	NA	NA	5	5	5	5	NA	NA	NA	NA	2	4	1	36	0	0	0	0	0	0	0	0	0	0	0	NA	0	2	NA	1000	31000	47.77	50.31	61.3	NA	NA	1137	1137	1137	1200	1137	NA	NA	NA	NA	23200	636160	NA	NA	NA	102	3	54	54	24	NA	NA	NA	6.99056e+07	427	93	67	0	1	0	0	1	0	0	1	1	0	6.90776	109.887	0.00014619	32000	0.0503018	0.00139727	10.3735	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	13.3632	NA	NA	0	0	0.150474	408.63	427	61.9866	3842.34	247.946	55.1302	3417.34	1200	0	0	0	0	0	0	0.187859	0.0287857	0.0996324	427	427	0.555881	0.555881	0.567394	0.567394	-2.83895	0.0552555	-4.81923	0.00800835	-4.15831	0.0153933	0.0436889	0.51092	-3.30944	0.0352488	-2.57689	0.0706409	-1.00649	0.267667	-3.08955	0.0435405	-3.36135	0.0335254	0.840651	0.698602	-4.99096	0.0067532	-0.788961	0.312392	-0.445306	0.390477	3.7567	0.977172	-0.435708	0.392764	3.76629	0.977386
1	MLD	89	MLD	FSU	Moldova	92	94	5	1	0	1	0	0	0	0	1	1	NA	0	0	NA	17	17	NA	17	17	NA	-20	-20	NA	0	0	0	NA	NA	3	4	4	4	NA	NA	1	1	1	2	0	24	1	0	0	0	0	0	0	0	1	1	1	NA	1	4	NA	1500	105000	67.8	65	38	NA	NA	2400	NA	NA	2400	7741	NA	NA	NA	NA	33700	4351000	NA	NA	NA	45	2	4	4	56	34.43	3.3329e+07	NA	3.3329e+07	324	NA	37	0	0	0	0	0	0	0	0	0	1	7.31322	7.66008	NA	106500	0.0244771	0.00101988	11.5759	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	16	15.2859	NA	NA	0	0	0.124651	323.183	324	23.2415	540.168	395.106	34.43	800.205	2400	0	0	0	1	0	0	0.455236	0.00200662	0.150072	324	324	0.444232	0.444232	0.735694	0.735694	-2.89838	0.0522335	-4.87867	0.0075497	-4.21775	0.0145179	-0.015749	0.496063	-5.46531	0.00421322	-4.73275	0.00872541	-1.64926	0.161209	-3.73231	0.0233778	-4.00412	0.0179136	0.197882	0.54931	-5.0504	0.00636598	-0.848399	0.299769	-1.08807	0.251981	3.11393	0.957464	-0.495146	0.378682	3.70686	0.976034
7	ISR	76	ISR	ISR	Israel-Palest.	47	97	2	3	0	0	0	1	0	0	1	1	NA	1	1	NA	19	19	NA	19	19	NA	19	19	NA	1	1	1	NA	NA	1	3	1	3	NA	NA	NA	NA	2	4	1	600	1	0	0	0	0	0	1	1	1	1	0	20	1	6	NA	26000	3500000	69.19	69.19	99	NA	NA	4644	4644	9298	10000	2362	NA	NA	NA	NA	21060	2114000	NA	NA	NA	8	5	12	4.54	99	31.6	4.9022e+09	0.041	2.69e+09	5387	772	40	1	1	1	1	1	1	1	1	1	0	10.1659	1272.47	0.000365184	3.526e+06	1.66793	0.00277988	15.0757	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	36	14.5641	4.228e+07	4.228e+07	0	0	0.041	4523.35	5387	20	400	380	31.6	632	10000	0	0	0	0	0	0	0.769321	0.333333	1	5387	5387	0.0416669	0.0416669	0.0135065	0.0135065	0.0233075	0.505827	-1.95698	0.123795	-1.29606	0.214829	2.90594	0.948139	-6.7062	0.00122181	-5.97364	0.00253849	-3.52013	0.0287449	-5.60318	0.00367258	-5.87499	0.00280097	-1.67298	0.158027	-2.12871	0.106338	2.07329	0.88828	-2.95894	0.0493156	1.24306	0.776096	2.42655	0.918829	6.62855	0.99868
9	NAM	92	NAM	NAM	Namibia	65	89	3	5	0	0	0	0	0	1	1	1	1	1	1	1	18	18	18	18	18	18	18	18	18	1	1	1	1	NA	2	3	2	3	NA	NA	1	1	2	4	1	288	1	1	3	1	3	4	0	3	1	0	0	88	1	8	12050	65000	73000	46	57.5	22	2107	3354	2325	2325	2854	3200	2325	184.4	0.621	NA	NA	824290	701000	1517599	1648270	NA	66	4	43.79	25.29	64	NA	2.41563e+08	NA	2.41563e+08	584	NA	59	1	1	1	1	1	1	1	1	1	0	11.0821	344.597	NA	138000	0.196862	0.000683547	11.835	1	0	1	0	0	0	1	0	0	0	0	1	0	1	2	0	0	1	0	2	4	64	13.4603	6.1688e+07	6.1688e+07	3	12	0.157758	1286.31	584	88	7744	1584	35.9202	3160.98	3200	1	0	0	0	0	0.5	0.702275	0.352516	0.214205	584	584	0.265155	-0.734845	0.309101	-0.690899	-2.74835	0.0601801	-4.72863	0.00876113	-4.06771	0.0168284	0.134288	0.533522	-7.03211	0.000882284	-6.29956	0.00183374	-1.78777	0.143346	-3.87083	0.0204157	-4.14263	0.0156328	0.059371	0.514838	-4.90036	0.00738888	-0.698361	0.332176	-1.22659	0.22678	2.97542	0.951451	-0.345108	0.414569	3.85689	0.979304
3	ZMB1	137	ZMB	ZMB	Zimbabwe/Rhodesia	72	80	3	5	0	0	0	0	0	1	1	1	1	0	0	1	15	11	4	15	11	4	-10	-10	4	1	0	0	1	67	4	6	6	4	5	5	14	14	2	4	1	96	1	0	0	0	0	0	3	3	1	1	1	54	1	6	12000	100000	100000	51.5	56	165	1010	1178	603	1349	1216	1179	1179	393.3	0.194	NA	NA	390760	5861135	9744847	10612054	3.2	94	4	28.2	16.7	36	56.83	3.11073e+07	0.164	2.26233e+07	792	4435	24	1	0	0	0	0	0	0	1	1	0	11.5129	3.85989	0.000756679	200000	0.0341231	0.000355449	12.2061	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	36	15.5839	3.16501e+08	3.16501e+08	0	0	0.164	515.27	792	54	2916	810	56.83	3068.82	1179	0	0	0	0	0	0	0.557699	0.00101113	0.13246	792	792	0.939383	0.939383	0.92299	0.92299	-2.62832	0.0673381	-4.6086	0.00986741	-3.94768	0.0189339	0.254318	0.563239	-6.7062	0.00122181	-5.97364	0.00253849	-1.98613	0.120667	-4.06918	0.0168041	-4.34099	0.0128562	-0.138988	0.465309	-4.78033	0.00832334	-0.578331	0.359317	-1.42494	0.193888	2.77706	0.941423	-0.225078	0.443967	3.97692	0.981602
1	LAO	80	LAO	LAO	Laos	60	75	2	4	0	0	0	0	1	0	1	1	1	0	0	1	3	3	3	3	3	3	-10	-10	3	0	0	0	1	6	6	6	7	7	7	7	12	12	1	2	0	180	0	0	0	0	0	0	0	0	1	1	0	60	1	4	19952	200000	300000	40	40.41	54	NA	NA	56	NA	NA	1000	1000	143.3	0.025	NA	NA	236800	2309365	3247736	3494963	NA	150	5	NA	NA	39	30.4	4.96e+07	NA	4.585e+07	60	39	49	1	0	0	0	0	0	0	0	0	1	12.2061	19.8539	1.68878e-05	500000	0.21651	0.00120283	13.1224	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	16	14.6525	1.38562e+08	1.38562e+08	0	0	0.140811	-13.7053	60	60	3600	180	30.4	1824	1000	0	0	0	1	0	0	0.329138	0.0052009	0.055569	60	60	0.0931192	0.0931192	0.106376	0.106376	-3.05073	0.045186	-5.03101	0.00648979	-4.3701	0.012492	-0.168095	0.458075	-5.46531	0.00421322	-4.73275	0.00872541	-2.47595	0.0775614	-4.559	0.0103639	-4.83081	0.00791689	-0.628807	0.347781	-5.20275	0.00547133	-1.00074	0.268795	-1.91476	0.128447	2.28724	0.907815	-0.647491	0.343555	3.55451	0.9722
7	ZMB2	138	ZMB	ZMB	Zimbabwe/Rhodesia	84	84	4	5	0	0	0	0	0	1	1	1	1	1	1	1	11	4	4	11	4	4	11	4	4	1	1	1	1	67	4	6	6	4	5	5	14	14	1	1	0	12	1	0	0	0	0	0	0	0	0	0	1	54	0	2	NA	10000	0	56	56	165	1010	1178	603	1216	NA	1179	1179	393.3	0.194	NA	NA	390760	9744847	10612054	NA	3.2	94	4	16.7	16.7	36	56.83	3.11073e+07	0.164	2.26233e+07	792	4591	24	1	1	1	1	1	0	0	0	0	1	9.21034	2.32157	0.000471121	10000	0.00102618	8.55153e-05	9.21034	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	16.0922	5.26222e+08	5.26222e+08	0	0	0.164	515.27	792	54	2916	594	56.83	3068.82	1179	0	0	0	0	1	0	0.364682	0.000608153	0.13246	792	792	0.0118072	0.0118072	0.0094908	0.0094908	-2.62832	0.0673381	-4.6086	0.00986741	-3.94768	0.0189339	0.254318	0.563239	-3.30944	0.0352488	-2.57689	0.0706409	-0.38471	0.404991	-2.46776	0.0781492	-2.73957	0.0606785	1.46243	0.811905	-4.78033	0.00832334	-0.578331	0.359317	0.176477	0.544005	4.37848	0.987611	-0.225078	0.443967	3.97692	0.981602
1	BGL2	12	BGL	BGL	Bangladesh--Hill	73	94	4	4	0	0	0	0	1	0	1	1	NA	1	1	NA	16	16	NA	16	16	NA	16	16	NA	1	1	1	NA	44	6	5	5	5	3	4	3	5	2	4	1	252	1	0	0	0	0	0	0	0	0	0	1	64	0	2	24000	50000	49000	53	53	120	NA	NA	250	1085	1085	1216	1216	NA	NA	40.13	60.69	144000	98556000	108118000	NA	NA	128	3	68	68	40	37	1.1778e+09	0.018	8.16e+08	16.2053	2234	19	1	1	1	1	1	1	1	1	1	0	10.8198	8.27956	2.26673e-05	99000	0.00100451	3.98613e-06	11.5029	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	18.4061	6.30758e+09	6.30758e+09	0	0	0.018	40.13	16.2053	64	4096	1024	37	2368	1216	0	0	0	0	0	0	0.477272	0.0021689	0.0623041	16.2053	16.2053	0.693193	0.693193	0.768291	0.768291	-3.076	0.044108	-5.05629	0.00632886	-4.39537	0.012184	-0.193367	0.451808	-3.30944	0.0352488	-2.57689	0.0706409	-1.61022	0.166557	-3.69328	0.0242858	-3.96508	0.0186134	0.236919	0.558954	-5.22802	0.00533552	-1.02602	0.263857	-1.04904	0.25941	3.15296	0.959025	-0.672764	0.337878	3.52924	0.971508
1	CRO2	135	CRO	YUG	Yugoslavia-Croatia	95	95	6	1	0	1	0	0	0	0	1	1	NA	1	1	NA	9	9	NA	9	9	NA	9	9	NA	1	1	1	NA	NA	4	4	NA	NA	NA	NA	6	5	2	4	1	6	1	1	4	1	4	5	4	4	0	1	1	75	1	3	NA	60000	386000	73	74	33.7	NA	NA	5172	4548	4548	4548	4548	NA	NA	1424.68	1108.62	56540	4795547	4661086	NA	NA	8	4	3	3	96	31.88	NA	NA	5.23e+08	2315	56047	45	0	1	1	0	1	1	0	1	1	0	11.0021	109.06	0.0116873	446000	0.0930029	0.0155005	13.0081	1	0	1	0	0	0	0	1	0	0	0	0	1	1	3	0	0	0	1	3	6	9	15.3832	3.59666e+08	3.59666e+08	4	16	0.122683	1424.68	2315	75	5625	675	31.88	2391	4548	0	1	0	0	0	0.75	0.437511	0.366657	0.442269	2315	2315	0.919369	-0.080631	0.968442	-0.0315584	-1.74944	0.148117	-3.72973	0.0234369	-3.06881	0.0444123	1.13319	0.756428	-4.50174	0.010968	-3.76919	0.0225505	-2.41486	0.0820469	-4.49791	0.0110097	-4.76971	0.00841146	-0.567712	0.361765	-3.90146	0.0198119	0.300542	0.574575	-1.85367	0.135443	2.34833	0.912802	0.653795	0.657865	4.8558	0.992277
1	SIE1	112	SIE	SIE	Sierra Leone	91	96	6	5	0	0	0	0	0	1	0	NA	NA	0	NA	NA	3	NA	NA	3	NA	NA	-20	NA	NA	0	0	0	NA	33	3	5	NA	NA	NA	NA	3	3	2	4	1	60	0	0	0	1	1	0	0	0	0	0	0	77	1	3	3000	10000	300000	34.11	37.21	52	878	852	195	905	901	540	734	NA	NA	74.56	71.62	71740	4243000	4733963	NA	2.4	189	2	79.3	79.3	83	60.79	1.91788e+07	0.12	3.38533e+07	48	255	86	0	0	0	0	0	0	0	1	1	0	9.21034	7.97863	6.0099e-05	310000	0.0730615	0.00121769	12.6443	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	9	15.2608	3.26711e+08	3.26711e+08	0	0	0.12	74.56	48	77	5929	231	60.79	4680.83	540	0	0	0	0	0	0	0.251619	0.00209007	0.0314552	48	48	0.865788	-0.134212	0.876128	-0.123872	-3.05766	0.0448881	-5.03794	0.00644529	-4.37702	0.0124069	-0.17502	0.456356	-4.50174	0.010968	-3.76919	0.0225505	-2.22041	0.0979328	-4.30346	0.0133413	-4.57527	0.0101985	-0.373264	0.407752	-5.20967	0.00543378	-1.00767	0.267436	-1.65922	0.159867	2.54278	0.927087	-0.654416	0.341995	3.54759	0.972012
